FEEDSTUFF,Edible_Mass,Total_Protein,Total_Energy_Lactating,Total_Energy_Gain,Total_Energy_Maintenance,Total_Fiber,EE,ASH,Ca,P,K,Cl,S,Zn ppm,Cattle,Sheep,Goat,Rabbit,Horse,Fish,Poultry
WHEAT GRAIN,0.89,0.3293,1.6899000000000002,1.4585,1.7522,0.1691,0.02047,0.0178,0.00044500000000000003,0.003827,0.0035600000000000002,0.0356,0.0356,0.35600000000000004,1.0,1.0,0.0,0.0,0.0,0.0,1.0
WHEAT GRAIN HARD,0.89,0.37379999999999997,1.6899000000000002,1.4585,1.7522,0.20470000000000002,0.0178,0.0178,0.00044500000000000003,0.003827,0.00445,0.053399999999999996,0.053399999999999996,0.4005,1.0,1.0,0.0,0.0,0.0,0.0,1.0
WHEAT GRAIN SOFT,0.89,0.3115,1.6899000000000002,1.4585,1.7522,0.1691,0.0178,0.0178,0.000534,0.0035600000000000002,0.0035600000000000002,0.0356,0.0356,0.267,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"WHEAT GRAIN, STEAM FLAKED",0.85,0.3655,1.7175,1.4965,1.7770000000000001,0.1615,0.019549999999999998,0.017,0.000425,0.0033150000000000002,0.0034,0.034,0.034,0.34,1.0,0.0,0.0,1.0,0.0,0.0,1.0
WHEAT GRAIN SPROUTED,0.86,0.258,1.6625999999999999,1.439,1.7227999999999999,0.17200000000000001,0.0172,0.0172,0.000344,0.003096,0.00344,0.0344,0.0344,0.387,1.0,0.0,0.0,1.0,0.0,0.0,1.0
WHEAT BRAN,0.89,0.4005,1.3319,1.0916,1.3497,0.6675,0.03916000000000001,0.06230000000000001,0.001157,0.011748,0.012459999999999999,0.12460000000000002,0.12460000000000002,0.8543999999999999,1.0,0.0,0.0,1.0,0.0,0.0,1.0
WHEAT MIDDLINGS,0.89,0.35600000000000004,1.5387,1.2984,1.5654,0.5073,0.04183,0.044500000000000005,0.0012460000000000001,0.0089,0.01157,0.0979,0.0979,0.8722,1.0,0.0,0.0,1.0,0.0,0.0,1.0
WHEAT MILL RUN,0.9,0.405,1.4620000000000002,1.228,1.489,0.522,0.0405,0.054,0.00099,0.0099,0.0108,0.108,0.108,0.81,1.0,0.0,0.0,1.0,0.0,0.0,1.0
WHEAT SHORTS,0.89,0.3916,1.492,1.2606000000000002,1.5187,0.42719999999999997,0.04717,0.044500000000000005,0.0008900000000000001,0.008277000000000001,0.009790000000000002,0.08900000000000001,0.08900000000000001,1.0502,1.0,0.0,0.0,1.0,0.0,0.0,1.0
WHEATGRASS CRESTED  FRESH EARLY BLOOM,0.37,0.13319999999999999,0.822,0.711,0.822,0.5365,0.00592,0.025900000000000003,0.001702,0.001184,0.00888,0.10360000000000001,0.10360000000000001,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
WHEATGRASS CRESTED  FRESH FULL BLOOM,0.5,0.215,0.8250000000000001,0.655,0.8250000000000001,0.875,0.008,0.035,0.0019500000000000001,0.0014000000000000002,0.0105,0.18,0.18,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
WHEATGRASS CRESTED HAY,0.92,0.3956,1.0368000000000002,0.7240000000000001,1.0368000000000002,2.1344,0.022080000000000002,0.06440000000000001,0.003036,0.00184,0.0184,0.3312,0.3312,0.2944,1.0,1.0,0.0,0.0,1.0,0.0,0.0
WHEY DRIED,0.94,0.27259999999999995,1.6189999999999998,1.3746,1.6566,0.0,0.00846,0.094,0.009212,0.008272,0.01222,0.0,0.0,0.094,1.0,0.0,0.0,1.0,0.0,0.0,1.0
"YEAST, BREWER'S",0.92,0.7084,1.5352000000000001,1.2960000000000003,1.572,0.06440000000000001,0.008280000000000001,0.06440000000000001,0.001196,0.013708000000000001,0.016560000000000002,0.0368,0.0368,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
